President,Age
George Washington,57
George Washington,61
John Adams,61
Thomas Jefferson,57
Thomas Jefferson,61
James Madison,57
James Madison,61
James Monroe,65
James Monroe,69
John Quincy Adams,57
Andrew Jackson,61
Andrew Jackson,65
Martin van Buren,54
William Henry Harrison,68
James K. Polk,49
Zachary Taylor,64
Franklin Pierce,48
James Buchanan,65
Abraham Lincoln,52
Abraham Lincoln,56
Ulysses S. Grant,46
Ulysses S. Grant,50
Rutherford B. Hayes,54
James Garfield,49
Grover Cleveland - I,47
Benjamin Harrison,55
Grover Cleveland - II,55
William McKinley,54
William McKinley,58
Theodore Roosevelt,42
William Howard Taft,51
Woodrow Wilson,56
Woodrow Wilson,60
Warren G. Harding,55
Calvin Coolidge,51
Herbert Hoover,54
Franklin D. Roosevelt,51
Franklin D. Roosevelt,55
Franklin D. Roosevelt,59
Franklin D. Roosevelt,63
Harry S. Truman,60
Dwight D. Eisenhower,62
Dwight D. Eisenhower,66
John F. Kennedy,43
Lyndon B. Johnson,55
Richard Nixon,56
Richard Nixon,60
Jimmy Carter,52
Ronald Reagan,69
Ronald Reagan,73
George Bush,64
William J. Clinton,46
William J. Clinton,50
George W. Bush,54
George W. Bush,58
Barack Obama,47
Barack Obama,51
Donald J. Trump,70
